STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	0.681	0.106	-0.012	-0.01
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	0.078	-0.579	0.095	0.071
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	0.746	0.494	0.265	0.255
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	1.81	-0.467	0.791	0.522
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	0.358	-0.36	-0.005	0.015
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	0.576	-0.091	0.265	0.561
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	-0.517	-0.499	0.011	0.002
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	0.047	-0.335	-0.034	0.773
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	1.03	-0.096	0.344	-0.07
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	-0.004	-0.513	0.123	0.452
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	-0.792	-0.004	-0.393	0.006
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	0.122	-0.223	0.095	3.66
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	0.015	0.003	-0.248	0.009
luad_tcga_pan_can_atlas_2018	TCGA-55-8091-01	0.079	-0.608	-0.011	0.339
luad_tcga_pan_can_atlas_2018	TCGA-55-8092-01	0.682	-0.109	0.503	0.234
luad_tcga_pan_can_atlas_2018	TCGA-55-8094-01	3.66	0.939	0.462	0.016
luad_tcga_pan_can_atlas_2018	TCGA-55-8096-01	0.202	-0.045	0.245	1.94
luad_tcga_pan_can_atlas_2018	TCGA-55-8097-01	0	-0.587	-0.603	0.015
luad_tcga_pan_can_atlas_2018	TCGA-55-8203-01	0.013	0.054	0.081	0.075
luad_tcga_pan_can_atlas_2018	TCGA-55-8204-01	-0.116	-0.027	-0.002	0.019
luad_tcga_pan_can_atlas_2018	TCGA-55-8205-01	0	-0.146	0.108	0.166
luad_tcga_pan_can_atlas_2018	TCGA-55-8206-01	-0.009	-0.026	0.157	0.313
luad_tcga_pan_can_atlas_2018	TCGA-55-8207-01	-0.004	-0.468	0.423	0.016
