STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-55-A492-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A493-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A494-01	-0.8685	-0.3219	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DF-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DG-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-A57B-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8394-01	0.2552	-0.1996	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8395-01	-0.0818	0.344	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8397-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8398-01	-0.3891	-1.0532	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8399-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-8402-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46O-01	0.9677	0.5232	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46P-01	-0.3191	-0.7577	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46R-01	1.1158	1.2895	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46S-01	1.8534	-1.0408	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46U-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46V-01	-0.2036	-0.0649	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A46Y-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A470-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A471-01	0.4439	-1.3268	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-62-A472-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1676-01	0.126	-0.1237	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1677-01	0.5151	0.2579	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1678-01	1.4784	1.1374	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1679-01	0.0871	-0.6723	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1680-01	-0.387	0.2635	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-1681-01	0.3343	0.5308	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5774-01	-0.6478	0.6715	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5775-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5778-01	2.0098	-0.5398	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5779-01	0.0309	-0.4461	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5781-01	-0.3109	0.9564	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-64-5815-01	0.052	0.4349	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-3770-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-3771-01	0.4689	-0.0509	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-3772-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-3773-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-3774-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-4679-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-6215-01	-0.3853	0.4332	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-6216-01	-0.4195	0.3063	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-67-6217-01	0.0401	0.1232	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7760-01	-1.0961	0.8815	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7761-01	-2.6976	-1.0533	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7763-01	0.8747	-0.5504	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7764-01	-2.2183	-0.6224	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7765-01	-2.7429	0.3934	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7973-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7974-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7978-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7979-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-69-7980-01	NA	NA	NA	NA
