STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	0.4404	0.7945	0.5375	-0.7494
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	0.3932	-0.8782	0.8008	0.6291
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	0.9483	-0.8562	0.4007	1.6166
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	-0.0626	-1.8633	1.9654	-0.304
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	-2.1405	2.8935	0.4625	1.6117
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	0.0068	-0.6045	0.873	0.5388
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	-0.4147	-3.3731	-0.7947	1.0343
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	-2.0799	-0.1777	-0.4716	1.5429
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	0.3136	0.4649	-0.9783	-1.644
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	1.1932	0.8828	0.9087	-0.1709
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	-1.0611	0.8191	0.1912	-0.0047
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	-0.9533	-1.8193	-0.141	1.5044
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	0.7561	-1.3872	-0.6881	1.0448
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	0.2524	-0.2977	0.1286	0.4034
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	0.5727	-0.3872	0.2857	-0.1122
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	0.4126	-0.8385	-0.3399	0.0109
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	-0.7626	-0.0893	0.0548	1.3166
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	-0.8761	0.2084	0.7124	0.9366
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	0.6882	0.6269	-0.7171	0.4937
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	-1.0836	0.4655	-0.0026	-1.5609
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	0.0785	2.2268	0.3231	0.0779
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	-0.3533	0.5806	0.7591	0.3011
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	1.3151	-0.7349	0.1655	-1.1881
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	0.1362	-0.5567	1.3217	-0.3369
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	0.3814	0.4897	0.6955	0.1326
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	1.5582	-0.0364	-1.222	-0.9483
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	0.2465	-1.2119	-0.0633	0.0752
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	0.4086	0.0993	-1.0514	-0.8103
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	0.4943	-0.8306	0.5205	-0.8118
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	1.255	0.7768	0.4922	-0.5428
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	0.0677	0.3218	0.6944	-1.1732
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	1.0901	-3.6964	-0.4875	1.4968
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	0.1475	0.6322	-0.9557	-1.6873
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	-0.2265	-0.3635	0.4295	-0.4602
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	-1.7919	0.3035	1.3131	0.1751
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	0.2636	0.8326	0.5163	0.1801
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	1.0493	0.4565	1.5509	-0.8468
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	-1.0777	1.8581	0.8094	1.4226
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	-1.2794	0.309	-0.3705	0.5796
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	0.2093	-1.297	-0.204	-1.0041
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	0.1888	-1.1279	1.8812	0.2021
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	0.6735	0.5283	-0.3145	-1.3651
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	0.6409	0.2593	-0.0776	0.6196
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	1.1634	-0.3149	1.4903	0.0725
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	0.0591	-0.921	0.5122	1.6774
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	-0.0867	-0.3503	1.4552	0.3489
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	-1.6278	-0.3606	1.6412	1.1991
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	-1.0376	-0.0189	0.1502	-0.2537
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	0.673	1.0607	-0.3152	0.8227
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	0.7497	0.2011	0.5907	0.5933
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	-0.9709	-0.164	-0.1987	0.6172
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	1.135	0.2524	-1.1534	-1.9189
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	-0.0146	2.8298	-0.6947	0.8951
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	1.3384	0.5632	2.9906	-0.3657
luad_tcga_pan_can_atlas_2018	TCGA-55-8091-01	-0.7785	0.7194	-0.3211	-1.0062
luad_tcga_pan_can_atlas_2018	TCGA-55-8092-01	-0.2249	-0.9641	0.7207	0.3605
