STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	0.1812	2.9267	1.3143	-2.8775
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	0.5375	0.7945	-0.7494	0.4404
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	0.8008	-0.8782	0.6291	0.3932
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	0.4007	-0.8562	1.6166	0.9483
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	1.9654	-1.8633	-0.304	-0.0626
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	0.4625	2.8935	1.6117	-2.1405
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	0.873	-0.6045	0.5388	0.0068
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	-0.7947	-3.3731	1.0343	-0.4147
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	-0.4716	-0.1777	1.5429	-2.0799
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	-0.9783	0.4649	-1.644	0.3136
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	0.9087	0.8828	-0.1709	1.1932
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	0.1912	0.8191	-0.0047	-1.0611
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	-0.141	-1.8193	1.5044	-0.9533
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	-0.6881	-1.3872	1.0448	0.7561
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	0.1286	-0.2977	0.4034	0.2524
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	0.2857	-0.3872	-0.1122	0.5727
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	-0.3399	-0.8385	0.0109	0.4126
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	0.0548	-0.0893	1.3166	-0.7626
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	0.7124	0.2084	0.9366	-0.8761
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	-0.7171	0.6269	0.4937	0.6882
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	-0.0026	0.4655	-1.5609	-1.0836
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	0.3231	2.2268	0.0779	0.0785
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	0.7591	0.5806	0.3011	-0.3533
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	0.1655	-0.7349	-1.1881	1.3151
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	1.3217	-0.5567	-0.3369	0.1362
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	0.6955	0.4897	0.1326	0.3814
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	-1.222	-0.0364	-0.9483	1.5582
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	-0.0633	-1.2119	0.0752	0.2465
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	-1.0514	0.0993	-0.8103	0.4086
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	0.5205	-0.8306	-0.8118	0.4943
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	0.4922	0.7768	-0.5428	1.255
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	0.6944	0.3218	-1.1732	0.0677
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	-0.4875	-3.6964	1.4968	1.0901
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	-0.9557	0.6322	-1.6873	0.1475
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	0.4295	-0.3635	-0.4602	-0.2265
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	1.3131	0.3035	0.1751	-1.7919
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	0.5163	0.8326	0.1801	0.2636
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	1.5509	0.4565	-0.8468	1.0493
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	0.8094	1.8581	1.4226	-1.0777
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	-0.3705	0.309	0.5796	-1.2794
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	-0.204	-1.297	-1.0041	0.2093
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	1.8812	-1.1279	0.2021	0.1888
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	-0.3145	0.5283	-1.3651	0.6735
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	-0.0776	0.2593	0.6196	0.6409
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	1.4903	-0.3149	0.0725	1.1634
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	0.5122	-0.921	1.6774	0.0591
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	1.4552	-0.3503	0.3489	-0.0867
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	1.6412	-0.3606	1.1991	-1.6278
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	0.1502	-0.0189	-0.2537	-1.0376
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	-0.3152	1.0607	0.8227	0.673
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	0.5907	0.2011	0.5933	0.7497
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	-0.1987	-0.164	0.6172	-0.9709
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	-1.1534	0.2524	-1.9189	1.135
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	-0.6947	2.8298	0.8951	-0.0146
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	2.9906	0.5632	-0.3657	1.3384
luad_tcga_pan_can_atlas_2018	TCGA-55-8091-01	-0.3211	0.7194	-1.0062	-0.7785
luad_tcga_pan_can_atlas_2018	TCGA-55-8092-01	0.7207	-0.9641	0.3605	-0.2249
luad_tcga_pan_can_atlas_2018	TCGA-55-8094-01	3.769	-4.1026	1.4646	-2.3381
luad_tcga_pan_can_atlas_2018	TCGA-55-8096-01	-0.3327	1.8934	-0.7697	-1.1281
luad_tcga_pan_can_atlas_2018	TCGA-55-8097-01	1.1911	0.1452	-0.7491	0.2204
luad_tcga_pan_can_atlas_2018	TCGA-55-8203-01	0.813	-0.2905	0.1689	0.6996
luad_tcga_pan_can_atlas_2018	TCGA-55-8204-01	-0.6431	0.4459	-0.0121	-1.0996
luad_tcga_pan_can_atlas_2018	TCGA-55-8205-01	-0.5518	0.4945	1.0771	-0.2063
luad_tcga_pan_can_atlas_2018	TCGA-55-8206-01	-0.7501	0.9965	-0.2428	0.2563
luad_tcga_pan_can_atlas_2018	TCGA-55-8207-01	0.2345	0.9391	-1.5756	0.066
luad_tcga_pan_can_atlas_2018	TCGA-55-8208-01	-0.055	-1.1215	-0.0394	0.3618
luad_tcga_pan_can_atlas_2018	TCGA-55-8299-01	-0.9408	0.0406	-0.0246	0.1128
luad_tcga_pan_can_atlas_2018	TCGA-55-8301-01	-0.6697	0.3538	0.2953	0.9344
luad_tcga_pan_can_atlas_2018	TCGA-55-8302-01	0.8143	-0.2483	0.5542	-1.4948
luad_tcga_pan_can_atlas_2018	TCGA-55-8505-01	0.4386	-0.4273	0.713	-0.1608
luad_tcga_pan_can_atlas_2018	TCGA-55-8506-01	-0.825	0.7084	0.4457	-0.8062
luad_tcga_pan_can_atlas_2018	TCGA-55-8507-01	1.1582	-0.9008	0.6055	-1.3133
luad_tcga_pan_can_atlas_2018	TCGA-55-8508-01	0.1941	0.4239	-0.1521	1.4168
luad_tcga_pan_can_atlas_2018	TCGA-55-8510-01	-1.2779	0.1838	0.0652	-0.9821
luad_tcga_pan_can_atlas_2018	TCGA-55-8511-01	-1.945	0.7154	-0.0442	-1.2405
luad_tcga_pan_can_atlas_2018	TCGA-55-8512-01	-0.6456	0.1372	-2.1567	-0.1063
luad_tcga_pan_can_atlas_2018	TCGA-55-8513-01	-0.5627	-0.1528	-1.5335	-0.241
luad_tcga_pan_can_atlas_2018	TCGA-55-8514-01	-0.8011	0.0044	-1.5796	-0.6367
luad_tcga_pan_can_atlas_2018	TCGA-55-8614-01	-1.0796	0.714	-0.3241	0.6879
luad_tcga_pan_can_atlas_2018	TCGA-55-8615-01	0.5974	-0.0634	-0.485	0.426
luad_tcga_pan_can_atlas_2018	TCGA-55-8616-01	0.9643	0.8396	-0.7664	-2.0981
luad_tcga_pan_can_atlas_2018	TCGA-55-8619-01	-0.7598	-0.1282	-1.2996	-0.1559
luad_tcga_pan_can_atlas_2018	TCGA-55-8620-01	-0.2702	-3.0795	1.2318	0.3337
luad_tcga_pan_can_atlas_2018	TCGA-55-8621-01	-0.5684	0.0448	-0.8065	0.0631
luad_tcga_pan_can_atlas_2018	TCGA-55-A48X-01	-0.334	0.5554	-0.7455	0.4201
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Y-01	-0.1493	-0.2935	0.2683	0.4231
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Z-01	-0.8286	1.2856	0.2519	-0.1229
luad_tcga_pan_can_atlas_2018	TCGA-55-A490-01	1.0998	1.6655	0.7037	-2.4712
luad_tcga_pan_can_atlas_2018	TCGA-55-A491-01	-0.5798	-0.2438	-0.8799	0.679
luad_tcga_pan_can_atlas_2018	TCGA-55-A492-01	-0.5886	-2.1338	-1.4974	0.1734
luad_tcga_pan_can_atlas_2018	TCGA-55-A493-01	1.2048	1.2086	1.5171	-0.112
luad_tcga_pan_can_atlas_2018	TCGA-55-A494-01	1.7483	0.3305	-0.3645	0.4809
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DF-01	0.7745	-1.3793	1.2992	0.7248
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DG-01	-1.9884	0.8377	-1.1626	1.0536
