STUDY_ID	SAMPLE_ID	TP53	EGFR	AURKA	KRAS
luad_oncosg_2020	A511	-1	1	0	0
luad_oncosg_2020	A512	0	0	1	-1
luad_oncosg_2020	A514	0	1	1	1
luad_oncosg_2020	A517	0	1	1	0
luad_oncosg_2020	A510	1	1	1	1
luad_oncosg_2020	A524	-1	0	0	0
luad_oncosg_2020	A522	0	0	0	0
luad_oncosg_2020	A521	0	2	1	2
luad_oncosg_2020	A519	-1	1	1	-1
luad_oncosg_2020	A534	0	0	0	0
luad_oncosg_2020	A530	0	0	-1	0
luad_oncosg_2020	A532	1	-1	2	1
luad_oncosg_2020	A538	0	1	1	0
luad_oncosg_2020	A537	-1	0	0	-1
