STUDY_ID	SAMPLE_ID	AURKA	TP53	KRAS	EGFR
luad_oncosg_2020	A152	NA	NA	NA	NA
luad_oncosg_2020	A015	-0.4361	1.0133	0.644	0.6128
luad_oncosg_2020	A062	1.3039	0.4917	-0.3714	2.6141
luad_oncosg_2020	A037	0.0857	0.1265	-0.5527	-0.8341
luad_oncosg_2020	A066	-0.5433	-0.2835	0.6199	0.8362
luad_oncosg_2020	A310	-0.47	-0.0839	-0.0009	0.0195
luad_oncosg_2020	A320	-0.8113	-0.9829	-0.3302	0.129
luad_oncosg_2020	A426	0.0968	0.5111	-1.0429	0.4248
luad_oncosg_2020	A381	0.5467	0.0712	-0.3176	0.9425
luad_oncosg_2020	A428	-1.4329	0.0737	-0.7049	0.9958
luad_oncosg_2020	A430	-0.6358	0.863	0.8114	0.7879
luad_oncosg_2020	A432	1.0687	-1.5903	-1.9868	-0.6529
luad_oncosg_2020	A434	-0.0948	-0.3741	-0.3638	-0.3478
luad_oncosg_2020	A435	NA	NA	NA	NA
luad_oncosg_2020	A507	NA	NA	NA	NA
luad_oncosg_2020	A508	-0.2688	-0.6187	-3.3369	-2.3087
luad_oncosg_2020	A509	0.5788	-0.0546	1.0826	-0.0072
luad_oncosg_2020	A063	0.6313	-0.0963	1.2679	0.907
luad_oncosg_2020	A130	NA	NA	NA	NA
luad_oncosg_2020	A168	-1.9209	0.8403	3.198	-0.0809
luad_oncosg_2020	A433	0.6902	-0.3489	-1.4238	-1.016
luad_oncosg_2020	A513	NA	NA	NA	NA
luad_oncosg_2020	A112	2.8347	-0.4316	0.3396	1.8342
luad_oncosg_2020	A114	NA	NA	NA	NA
luad_oncosg_2020	A111	0.1113	0.7467	0.8146	0.3521
luad_oncosg_2020	A110	2.2937	0.1304	1.7326	-3.5552
luad_oncosg_2020	A124	-0.1779	-0.6347	0.4812	-0.6946
luad_oncosg_2020	A126	-0.2046	1.3211	-0.3509	-0.2749
luad_oncosg_2020	A511	0.8439	-0.03	-0.3594	-0.3364
luad_oncosg_2020	A512	0.4273	0.9124	-1.3146	0.9514
luad_oncosg_2020	A514	0.0853	0.0408	-0.1633	0.9934
luad_oncosg_2020	A517	0.3332	0.067	-0.8541	-0.5733
luad_oncosg_2020	A510	-0.2238	1.2325	-0.3255	0.9706
luad_oncosg_2020	A524	-1.1426	0.2261	1.024	-0.7473
luad_oncosg_2020	A522	-1.2121	-0.7382	-0.4974	-0.786
luad_oncosg_2020	A521	0.7106	0.4866	3.5086	1.2584
luad_oncosg_2020	A519	-0.3456	0.457	-0.3075	0.4207
luad_oncosg_2020	A534	0.6486	1.0484	-0.1645	-0.2198
luad_oncosg_2020	A530	-1.739	0.4098	0.4297	-1.2218
luad_oncosg_2020	A532	0.5044	-0.4594	0.3686	-1.9519
luad_oncosg_2020	A538	-0.2656	0.9724	-0.2231	0.1667
luad_oncosg_2020	A537	-1.5292	-1.116	-0.1551	-0.3264
